team,week_num,avg_temp
DAL,52,70.0
DAL,53,70.0
DEN,1,29.233142857142862
DEN,2,30.081714285714284
DEN,3,28.31771428571428
DEN,4,29.491999999999997
DEN,5,34.14114285714285
DEN,6,33.82600000000001
DEN,35,74.17478260869566
DEN,36,72.35705882352943
DEN,37,65.56554455445544
DEN,38,65.19485148514852
DEN,39,65.36857142857143
DEN,40,59.85714285714285
DEN,41,57.16365384615385
DEN,42,54.304571428571435
DEN,43,46.6516504854369
DEN,44,45.465384615384615
DEN,45,44.56571428571429
DEN,46,40.775000000000006
DEN,47,39.51885714285715
DEN,48,37.050285714285714
DEN,49,39.068
DEN,50,33.22470588235294
DEN,51,35.984
DEN,52,34.68457142857143
DEN,53,30.791428571428572
DET,1,70.0
DET,2,70.0
DET,3,70.0
DET,4,70.0
