game_id,season,week,temp,wind,calendar_week,focus_team,focus_score,focus_temp_delta,avg_temp,attempts,carries,passing_epa,rushing_epa,conventional_plays_ran,pass_to_run_ratio
2024_02_NYG_WAS,2024,2,82.0,11.0,37,WAS,21,10.244,71.756,29,35,4.707815975978937,5.679466244140436,64,0.8285714285714286
2024_02_LA_ARI,2024,2,70.0,0.0,37,ARI,41,0.0,70.0,21,40,18.101088591167418,3.402355659990622,61,0.525
2024_02_PIT_DEN,2024,2,83.0,4.0,37,DEN,6,17.434455445544558,65.56554455445544,35,19,-8.624825167329673,-4.989731757028494,54,1.8421052631578947
2024_02_CIN_KC,2024,2,89.0,8.0,37,KC,26,23.072571428571408,65.92742857142859,25,32,-9.668457253713648,4.591424105235327,57,0.78125
2024_02_CHI_HOU,2024,2,70.0,0.0,37,HOU,19,0.0,70.0,36,22,1.6088561200666733,-12.136085074336734,58,1.6363636363636365
2024_02_ATL_PHI,2024,2,71.0,9.0,38,PHI,21,4.1091428571428565,66.89085714285714,30,37,1.8038242840881211,6.309903511675774,67,0.8108108108108109
2024_03_NE_NYJ,2024,3,75.0,5.0,38,NYJ,24,7.243428571428566,67.75657142857143,35,33,18.204784605805415,-0.2528911581612192,68,1.0606060606060606
2024_03_NYG_CLE,2024,3,76.0,4.0,38,CLE,15,9.153714285714287,66.84628571428571,37,18,-19.51902969374708,-4.25600821885746,55,2.0555555555555554
2024_03_CHI_IND,2024,3,70.0,0.0,38,IND,21,0.0,70.0,20,33,-10.29302441625623,-0.5743996413657442,53,0.6060606060606061
2024_03_HOU_MIN,2024,3,70.0,0.0,38,MIN,34,0.0,70.0,28,28,5.25261193368137,1.1676012267707847,56,1.0
2024_03_PHI_NO,2024,3,70.0,0.0,38,NO,12,0.0,70.0,25,29,0.5845496743514786,-11.72025279776426,54,0.8620689655172413
2024_03_LAC_PIT,2024,3,72.0,2.0,38,PIT,20,7.728571428571428,64.27142857142857,32,31,8.205475067990267,-5.779756551666651,63,1.032258064516129
2024_03_DEN_TB,2024,3,85.0,6.0,38,TB,7,4.257714285714258,80.74228571428574,33,16,-18.282071196561446,2.0204903000267223,49,2.0625
2024_03_GB_TEN,2024,3,87.0,7.0,38,TEN,14,15.30914285714286,71.69085714285714,34,11,-16.97985835390864,-2.482685139053501,45,3.090909090909091
2024_03_CAR_LV,2024,3,70.0,0.0,38,LV,22,0.0,70.0,40,16,1.258779373342212,-6.242436064989306,56,2.5
